year,year_weight,NAME,state,table_code,variable,value
2017,1.0,Hawaii,15,B12001,B12001_001E,1167820
2018,1.0,Hawaii,15,B12001,B12001_001E,1164044
2019,1.0,Hawaii,15,B12001,B12001_001E,1163465
2021,1.0,Hawaii,15,B12001,B12001_001E,1184801
2022,1.0,Hawaii,15,B12001,B12001_001E,1190764
2023,1.0,Hawaii,15,B12001,B12001_001E,1188673
2024,1.0,Hawaii,15,B12001,B12001_001E,1201474
2015,1.0,Hawaii,15,B12001,B12001_008E,32311
2016,1.0,Hawaii,15,B12001,B12001_008E,28233
2017,1.0,Hawaii,15,B12001,B12001_008E,29725
2018,1.0,Hawaii,15,B12001,B12001_008E,27428
2019,1.0,Hawaii,15,B12001,B12001_008E,26715
2021,1.0,Hawaii,15,B12001,B12001_008E,26324
2022,1.0,Hawaii,15,B12001,B12001_008E,29635
2023,1.0,Hawaii,15,B12001,B12001_008E,30981
2024,1.0,Hawaii,15,B12001,B12001_008E,26150
2015,1.0,Hawaii,15,B12001,B12001_007E,7457
2016,1.0,Hawaii,15,B12001,B12001_007E,7270
2017,1.0,Hawaii,15,B12001,B12001_007E,5700
2018,1.0,Hawaii,15,B12001,B12001_007E,6536
2019,1.0,Hawaii,15,B12001,B12001_007E,7277
2021,1.0,Hawaii,15,B12001,B12001_007E,4423
2022,1.0,Hawaii,15,B12001,B12001_007E,6188
2023,1.0,Hawaii,15,B12001,B12001_007E,6243
2024,1.0,Hawaii,15,B12001,B12001_007E,7177
2015,1.0,Hawaii,15,B12001,B12001_006E,39768
2016,1.0,Hawaii,15,B12001,B12001_006E,35503
2017,1.0,Hawaii,15,B12001,B12001_006E,35425
2018,1.0,Hawaii,15,B12001,B12001_006E,33964
2019,1.0,Hawaii,15,B12001,B12001_006E,33992
2021,1.0,Hawaii,15,B12001,B12001_006E,30747
2022,1.0,Hawaii,15,B12001,B12001_006E,35823
2023,1.0,Hawaii,15,B12001,B12001_006E,37224
2024,1.0,Hawaii,15,B12001,B12001_006E,33327
2015,1.0,Hawaii,15,B12001,B12001_009E,15652
2016,1.0,Hawaii,15,B12001,B12001_009E,15727
2017,1.0,Hawaii,15,B12001,B12001_009E,14509
2018,1.0,Hawaii,15,B12001,B12001_009E,14264
2019,1.0,Hawaii,15,B12001,B12001_009E,13550
2021,1.0,Hawaii,15,B12001,B12001_009E,13321
2022,1.0,Hawaii,15,B12001,B12001_009E,14725
2023,1.0,Hawaii,15,B12001,B12001_009E,13362
2024,1.0,Hawaii,15,B12001,B12001_009E,15006
