occupation_code,occupation_title,years_available,year_range,avg_employment,avg_mean_wage,avg_median_wage,total_wage_growth,annual_wage_growth
49-2011,"Computer, Automated Teller, and Office Machine Repairers",5,2020-2024,174.0,46822.0,43412.0,0.4659367396593674,0.10034483024185148
49-2021,"Radio, Cellular, and Tower Equipment Installers and Repairers",5,2020-2024,88.0,67620.0,67172.0,-0.056729377713458755,-0.014494443687727121
49-2022,"Telecommunications Equipment Installers and Repairers, Except Line Installers",5,2020-2024,790.0,70082.0,71826.0,0.18774243599689683,0.043952090602141114
49-2091,Avionics Technicians,5,2020-2024,110.0,83432.0,82924.0,0.12306140461480267,0.02943961217771407
49-2093,"Electrical and Electronics Installers and Repairers, Transportation Equipment",3,2022-2024,56.666666666666664,83963.33333333333,75363.33333333333,-0.3521297418212322,-0.19509611867082677
49-2094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",5,2020-2024,354.0,76548.0,79250.0,0.11833424958768554,0.028354626815513262
49-2095,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",5,2020-2024,110.0,109338.0,110192.0,0.04160662824207493,0.010243194995536165
49-2096,"Electronic Equipment Installers and Repairers, Motor Vehicles",4,2021-2024,95.0,48585.0,43890.0,0.08365674859853385,0.027142217662790236
49-2097,Audiovisual Equipment Installers and Repairers,4,2020-2024,133.33333333333334,60527.5,61155.0,0.13297221736851303,0.03170328905186692
49-2098,Security and Fire Alarm Systems Installers,5,2020-2024,292.0,55528.0,54342.0,0.1936973103171417,0.045258129167240924
49-3011,Aircraft Mechanics and Service Technicians,5,2020-2024,1112.0,78522.0,76976.0,0.26154068090017313,0.059803415823332484
49-3021,Automotive Body and Related Repairers,5,2020-2024,542.0,51324.0,50116.0,0.09241432422025414,0.02234351513142574
49-3022,Automotive Glass Installers and Repairers,5,2020-2024,63.333333333333336,49594.0,48558.0,0.16566327589786173,0.03906634540436604
49-3023,Automotive Service Technicians and Mechanics,5,2020-2024,2586.0,53238.0,50204.0,0.08917565485362096,0.021584938463405257
49-3031,Bus and Truck Mechanics and Diesel Engine Specialists,5,2020-2024,828.0,66020.0,65958.0,0.29045712379045713,0.06582498040879559
49-3042,"Mobile Heavy Equipment Mechanics, Except Engines",5,2020-2024,540.0,81176.0,76430.0,0.026587506453278266,0.006581614568641259
49-3051,Motorboat Mechanics and Service Technicians,5,2020-2024,108.0,63846.0,60800.0,0.3594461969856292,0.07979299576753296
49-3052,Motorcycle Mechanics,3,2020-2022,40.0,45843.333333333336,43636.666666666664,0.4435994930291508,0.2014988526957282
49-3053,Outdoor Power Equipment and Other Small Engine Mechanics,5,2020-2024,254.0,51180.0,51394.0,0.01875957120980092,0.004657256610059779
49-3093,Tire Repairers and Changers,5,2020-2024,222.0,46110.0,43226.0,0.32172387872713604,0.07222316074861723
49-9011,Mechanical Door Repairers,4,2020-2024,106.66666666666667,56402.5,54267.5,0.560303893637227,0.11764093007247323
49-9012,"Control and Valve Installers and Repairers, Except Mechanical Door",5,2020-2024,116.0,82788.0,77292.0,0.06511876167600747,0.01589660430750417
49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",5,2020-2024,1090.0,69506.0,64400.0,0.024984765386959172,0.006188507536622367
49-9031,Home Appliance Repairers,5,2020-2024,136.0,54062.0,57544.0,0.3051747014595312,0.0688509849704082
49-9041,Industrial Machinery Mechanics,5,2020-2024,612.0,77256.0,78000.0,0.16375087473757874,0.03863990677781004
49-9043,"Maintenance Workers, Machinery",5,2020-2024,40.0,68740.0,63366.0,0.4002201027146001,0.08780005669120383
49-9051,Electrical Power-Line Installers and Repairers,5,2020-2024,418.0,106100.0,110516.0,0.12781566439346972,0.030527369474079746
49-9052,Telecommunications Line Installers and Repairers,5,2020-2024,758.0,84354.0,79800.0,0.08236092265943012,0.019983217451539304
49-9062,Medical Equipment Repairers,5,2020-2024,294.0,64728.0,60856.0,0.2798126777053019,0.06362026180817959
49-9069,"Precision Instrument and Equipment Repairers, All Other",5,2020-2024,158.0,74776.0,78650.0,0.03746155996645233,0.009236627222798832
49-9071,"Maintenance and Repair Workers, General",5,2020-2024,6930.0,53834.0,52380.0,0.15421494206951658,0.03650564828212732
