zip_code,actual_county,puma_county,puma_code
96728,Honolulu,Honolulu,302.0
96729,Honolulu,Honolulu,304.0
96729,Honolulu,Honolulu,305.0
96729,Honolulu,Honolulu,307.0
96729,Honolulu,Honolulu,303.0
96729,Honolulu,Honolulu,306.0
96729,Honolulu,Honolulu,308.0
96729,Honolulu,Honolulu,301.0
96729,Honolulu,Honolulu,302.0
96730,Honolulu,Honolulu,304.0
96730,Honolulu,Honolulu,305.0
96730,Honolulu,Honolulu,307.0
96730,Honolulu,Honolulu,303.0
96730,Honolulu,Honolulu,306.0
96730,Honolulu,Honolulu,308.0
96730,Honolulu,Honolulu,301.0
96730,Honolulu,Honolulu,302.0
96731,Honolulu,Honolulu,304.0
96731,Honolulu,Honolulu,305.0
96731,Honolulu,Honolulu,307.0
96731,Honolulu,Honolulu,303.0
96731,Honolulu,Honolulu,306.0
96731,Honolulu,Honolulu,308.0
96731,Honolulu,Honolulu,301.0
96731,Honolulu,Honolulu,302.0
96732,Honolulu,Honolulu,304.0
96732,Honolulu,Honolulu,305.0
96732,Honolulu,Honolulu,307.0
96732,Honolulu,Honolulu,303.0
96732,Honolulu,Honolulu,306.0
96732,Honolulu,Honolulu,308.0
96732,Honolulu,Honolulu,301.0
96732,Honolulu,Honolulu,302.0
96733,Honolulu,Honolulu,304.0
96733,Honolulu,Honolulu,305.0
96733,Honolulu,Honolulu,307.0
96733,Honolulu,Honolulu,303.0
96733,Honolulu,Honolulu,306.0
96733,Honolulu,Honolulu,308.0
96733,Honolulu,Honolulu,301.0
96733,Honolulu,Honolulu,302.0
96734,Honolulu,Honolulu,304.0
96734,Honolulu,Honolulu,305.0
96734,Honolulu,Honolulu,307.0
96734,Honolulu,Honolulu,303.0
96734,Honolulu,Honolulu,306.0
96734,Honolulu,Honolulu,308.0
96734,Honolulu,Honolulu,301.0
96734,Honolulu,Honolulu,302.0
96735,Honolulu,Honolulu,304.0
96735,Honolulu,Honolulu,305.0
96735,Honolulu,Honolulu,307.0
96735,Honolulu,Honolulu,303.0
96735,Honolulu,Honolulu,306.0
96735,Honolulu,Honolulu,308.0
96735,Honolulu,Honolulu,301.0
96735,Honolulu,Honolulu,302.0
96736,Honolulu,Honolulu,304.0
96736,Honolulu,Honolulu,305.0
96736,Honolulu,Honolulu,307.0
96736,Honolulu,Honolulu,303.0
96736,Honolulu,Honolulu,306.0
96736,Honolulu,Honolulu,308.0
96736,Honolulu,Honolulu,301.0
96736,Honolulu,Honolulu,302.0
96737,Honolulu,Honolulu,304.0
96737,Honolulu,Honolulu,305.0
96737,Honolulu,Honolulu,307.0
96737,Honolulu,Honolulu,303.0
96737,Honolulu,Honolulu,306.0
96737,Honolulu,Honolulu,308.0
96737,Honolulu,Honolulu,301.0
96737,Honolulu,Honolulu,302.0
96738,Honolulu,Honolulu,304.0
96738,Honolulu,Honolulu,305.0
96738,Honolulu,Honolulu,307.0
96738,Honolulu,Honolulu,303.0
96738,Honolulu,Honolulu,306.0
96738,Honolulu,Honolulu,308.0
96738,Honolulu,Honolulu,301.0
96738,Honolulu,Honolulu,302.0
96739,Honolulu,Honolulu,304.0
96739,Honolulu,Honolulu,305.0
96739,Honolulu,Honolulu,307.0
96739,Honolulu,Honolulu,303.0
96739,Honolulu,Honolulu,306.0
96739,Honolulu,Honolulu,308.0
96739,Honolulu,Honolulu,301.0
96739,Honolulu,Honolulu,302.0
96740,Honolulu,Honolulu,304.0
96740,Honolulu,Honolulu,305.0
96740,Honolulu,Honolulu,307.0
96740,Honolulu,Honolulu,303.0
96740,Honolulu,Honolulu,306.0
96740,Honolulu,Honolulu,308.0
96740,Honolulu,Honolulu,301.0
96740,Honolulu,Honolulu,302.0
96741,Honolulu,Honolulu,304.0
96741,Honolulu,Honolulu,305.0
96741,Honolulu,Honolulu,307.0
96741,Honolulu,Honolulu,303.0
96741,Honolulu,Honolulu,306.0
96741,Honolulu,Honolulu,308.0
96741,Honolulu,Honolulu,301.0
96741,Honolulu,Honolulu,302.0
96742,Honolulu,Honolulu,304.0
96742,Honolulu,Honolulu,305.0
96742,Honolulu,Honolulu,307.0
96742,Honolulu,Honolulu,303.0
96742,Honolulu,Honolulu,306.0
96742,Honolulu,Honolulu,308.0
96742,Honolulu,Honolulu,301.0
96742,Honolulu,Honolulu,302.0
96743,Honolulu,Honolulu,304.0
96743,Honolulu,Honolulu,305.0
96743,Honolulu,Honolulu,307.0
96743,Honolulu,Honolulu,303.0
96743,Honolulu,Honolulu,306.0
96743,Honolulu,Honolulu,308.0
96743,Honolulu,Honolulu,301.0
96743,Honolulu,Honolulu,302.0
96744,Honolulu,Honolulu,304.0
96744,Honolulu,Honolulu,305.0
96744,Honolulu,Honolulu,307.0
96744,Honolulu,Honolulu,303.0
96744,Honolulu,Honolulu,306.0
96744,Honolulu,Honolulu,308.0
96744,Honolulu,Honolulu,301.0
96744,Honolulu,Honolulu,302.0
96745,Honolulu,Honolulu,304.0
96745,Honolulu,Honolulu,305.0
96745,Honolulu,Honolulu,307.0
96745,Honolulu,Honolulu,303.0
96745,Honolulu,Honolulu,306.0
96745,Honolulu,Honolulu,308.0
96745,Honolulu,Honolulu,301.0
96745,Honolulu,Honolulu,302.0
96746,Honolulu,Honolulu,304.0
96746,Honolulu,Honolulu,305.0
96746,Honolulu,Honolulu,307.0
96746,Honolulu,Honolulu,303.0
96746,Honolulu,Honolulu,306.0
96746,Honolulu,Honolulu,308.0
96746,Honolulu,Honolulu,301.0
96746,Honolulu,Honolulu,302.0
96747,Honolulu,Honolulu,304.0
96747,Honolulu,Honolulu,305.0
96747,Honolulu,Honolulu,307.0
96747,Honolulu,Honolulu,303.0
96747,Honolulu,Honolulu,306.0
96747,Honolulu,Honolulu,308.0
96747,Honolulu,Honolulu,301.0
96747,Honolulu,Honolulu,302.0
96748,Honolulu,Honolulu,304.0
96748,Honolulu,Honolulu,305.0
96748,Honolulu,Honolulu,307.0
96748,Honolulu,Honolulu,303.0
96748,Honolulu,Honolulu,306.0
96748,Honolulu,Honolulu,308.0
96748,Honolulu,Honolulu,301.0
96748,Honolulu,Honolulu,302.0
96749,Honolulu,Honolulu,304.0
96749,Honolulu,Honolulu,305.0
96749,Honolulu,Honolulu,307.0
96749,Honolulu,Honolulu,303.0
96749,Honolulu,Honolulu,306.0
96749,Honolulu,Honolulu,308.0
96749,Honolulu,Honolulu,301.0
96749,Honolulu,Honolulu,302.0
96750,Honolulu,Honolulu,304.0
96750,Honolulu,Honolulu,305.0
96750,Honolulu,Honolulu,307.0
96750,Honolulu,Honolulu,303.0
96750,Honolulu,Honolulu,306.0
96750,Honolulu,Honolulu,308.0
96750,Honolulu,Honolulu,301.0
96750,Honolulu,Honolulu,302.0
96751,Honolulu,Honolulu,304.0
96751,Honolulu,Honolulu,305.0
96751,Honolulu,Honolulu,307.0
96751,Honolulu,Honolulu,303.0
96751,Honolulu,Honolulu,306.0
96751,Honolulu,Honolulu,308.0
96751,Honolulu,Honolulu,301.0
96751,Honolulu,Honolulu,302.0
96752,Honolulu,Honolulu,304.0
96752,Honolulu,Honolulu,305.0
96752,Honolulu,Honolulu,307.0
96752,Honolulu,Honolulu,303.0
96752,Honolulu,Honolulu,306.0
