Year Month,Tax Type,Amount
Apr 2017,Fuel,16270627.23
Apr 2017,Individual Income,142848195.84
Apr 2017,Banks/Financial Corp,1886838.83
Apr 2017,All Others,6000
Apr 2017,Public Service Co.,11231654.15
Apr 2017,Transient Accommodation,40650689.29
Apr 2017,Tobacco,11474750.79
Apr 2017,Rental Vehicle,5175737.36
May 2017,Inheritance/Estate,204568.69
May 2017,Public Service Co.,9996567.34
May 2017,Rental Vehicle,4410503.88
May 2017,Tobacco,11105723.83
May 2017,All Others,17833.23
May 2017,General Excise & Use,272780640.74
May 2017,Corporate Income,11820298.309999999
May 2017,Individual Income,238873374.64999998
May 2017,Liquor,3901960.55
May 2017,Banks/Financial Corp,934449.09
May 2017,Fuel,16532048.36
May 2017,County Surcharges,20789559.37
May 2017,Transient Accommodation,43799313.019999996
Jun 2017,All Others,5554.05
Jun 2017,County Surcharges,17830581.17
Jun 2017,Public Service Co.,7991021.51
Jun 2017,Corporate Income,24533609.4
Jun 2017,Banks/Financial Corp,2036487.97
Jun 2017,Liquor,4675768.42
Jun 2017,Rental Vehicle,4211856.12
Jun 2017,Transient Accommodation,35128365.99
Jun 2017,Individual Income,234474749.2
Jun 2017,Tobacco,10181667.21
Jun 2017,General Excise & Use,269947813.46999997
Jun 2017,Inheritance/Estate,589908.48
Jun 2017,Fuel,16631957.69
Jul 2017,Inheritance/Estate,-145112.31
Jul 2017,Banks/Financial Corp,1245196.26
Jul 2017,Tobacco,9637037.77
Jul 2017,General Excise & Use,295461899.33000004
Jul 2017,Transient Accommodation,50380331.99
Jul 2017,Corporate Income,8841939.39
Jul 2017,County Surcharges,26450228
Jul 2017,All Others,5125.39
Jul 2017,Rental Vehicle,4461247.85
Jul 2017,Public Service Co.,9038304.64
Jul 2017,Liquor,4623822.61
Jul 2017,Individual Income,155244881.44
Jul 2017,Fuel,16971532.4
Aug 2017,All Others,5005
Aug 2017,Inheritance/Estate,-1249373.13
Aug 2017,Tobacco,12125235.51
Aug 2017,Banks/Financial Corp,1138851.1
Aug 2017,Transient Accommodation,46679890.95
Aug 2017,Liquor,3771696.25
Aug 2017,County Surcharges,22935413.04
Aug 2017,General Excise & Use,300710728.56
Aug 2017,Corporate Income,10243381.86
Aug 2017,Individual Income,175000608.94
Aug 2017,Public Service Co.,8954246.02
Aug 2017,Fuel,16666730.95
Aug 2017,Rental Vehicle,4640646.77
Sep 2017,Banks/Financial Corp,2113749.38
Sep 2017,Inheritance/Estate,14279467.43
Sep 2017,Liquor,4545511.45
Sep 2017,Public Service Co.,8725536.23
Sep 2017,Corporate Income,16909470.68
Sep 2017,Tobacco,9384558.19
Sep 2017,Individual Income,208925167.82999998
Sep 2017,All Others,4067.02
Sep 2017,County Surcharges,24609338.15
Sep 2017,Transient Accommodation,38211351.699999996
Sep 2017,Rental Vehicle,4599100.68
Sep 2017,Fuel,18067770.84
Sep 2017,General Excise & Use,305015307.84000003
Oct 2017,General Excise & Use,276347716.09999996
Oct 2017,Liquor,3808447.97
Oct 2017,All Others,245420.58
Oct 2017,Individual Income,156749732.21
Oct 2017,Public Service Co.,8738076.11
Oct 2017,Corporate Income,-1311630.54
Oct 2017,Fuel,16567768.17
Oct 2017,Rental Vehicle,3957440.29
Oct 2017,Banks/Financial Corp,1285953.89
Oct 2017,Transient Accommodation,38691442.82
Oct 2017,Inheritance/Estate,942343.09
Oct 2017,County Surcharges,27583011.86
Oct 2017,Tobacco,11146817.41
Nov 2017,General Excise & Use,237785595.44
Nov 2017,Tobacco,8758528.91
Nov 2017,Rental Vehicle,4153335.3
Nov 2017,County Surcharges,25597366.06
Nov 2017,Fuel,17121352.02
Nov 2017,Individual Income,192511434.55
Nov 2017,Transient Accommodation,35893519.96
Nov 2017,Corporate Income,-7691331.85
Nov 2017,All Others,2010
Nov 2017,Banks/Financial Corp,-1481744.19
Nov 2017,Public Service Co.,8885560.51
Nov 2017,Inheritance/Estate,179086.7
Nov 2017,Liquor,4149452.24
Dec 2017,Corporate Income,16523040.580000002
Dec 2017,Individual Income,202204255.54999998
Dec 2017,Public Service Co.,8724904.74
Dec 2017,County Surcharges,19565787.9
Dec 2017,Transient Accommodation,35866349.18
Dec 2017,All Others,9400.62
Dec 2017,Rental Vehicle,4347489.57
Dec 2017,General Excise & Use,280681707.88
Dec 2017,Banks/Financial Corp,847471.45
Dec 2017,Fuel,16604238.92
Dec 2017,Inheritance/Estate,1125593.84
Dec 2017,Liquor,4600960.81
Dec 2017,Tobacco,8977442.88
Jan 2018,Inheritance/Estate,652169.32
Jan 2018,Rental Vehicle,4250481.37
Jan 2018,All Others,5076.26
Jan 2018,Corporate Income,6743448.3
Jan 2018,General Excise & Use,339309092.55
Jan 2018,Transient Accommodation,52756632.309999995
Jan 2018,Fuel,16784306.87
Jan 2018,Liquor,4798445.44
Jan 2018,Banks/Financial Corp,1910721.21
Jan 2018,Tobacco,11478443.21
Jan 2018,County Surcharges,23688065.83
Jan 2018,Public Service Co.,9427927.22
Jan 2018,Individual Income,329527627.59000003
Feb 2018,Individual Income,67715236.33999999
Feb 2018,Tobacco,9987644.75
Feb 2018,Banks/Financial Corp,947422.2
Feb 2018,Public Service Co.,9398388.55
Feb 2018,Fuel,16425799.4
Feb 2018,Rental Vehicle,4990762.72
Feb 2018,County Surcharges,22671136.01
Feb 2018,Inheritance/Estate,10912516.27
Feb 2018,Liquor,4059556.45
Feb 2018,Corporate Income,5544693.82
Feb 2018,Transient Accommodation,56453236.89
Feb 2018,General Excise & Use,336585565.74
Feb 2018,All Others,25814.52
Mar 2018,Corporate Income,7014015.24
Mar 2018,Individual Income,111465304.76999998
Mar 2018,Transient Accommodation,47152684.769999996
Mar 2018,Inheritance/Estate,781075.57
Mar 2018,All Others,220737.82
Mar 2018,Rental Vehicle,4975229.21
Mar 2018,General Excise & Use,283384353.19
Mar 2018,Fuel,15176130.14
Mar 2018,Banks/Financial Corp,1013746.36
Mar 2018,County Surcharges,20812845.94
Mar 2018,Liquor,4003164.89
Mar 2018,Tobacco,9164608.11
Mar 2018,Public Service Co.,9447191.46
Apr 2018,Inheritance/Estate,73398.44
Apr 2018,Banks/Financial Corp,3254236.72
Apr 2018,Transient Accommodation,56820730.24
Apr 2018,Liquor,4354780.8
Apr 2018,General Excise & Use,174886350.02
Apr 2018,Corporate Income,43288211.97
Apr 2018,Individual Income,313498471.14
Apr 2018,Rental Vehicle,5198584.14
Apr 2018,Tobacco,9447974.2
Apr 2018,Public Service Co.,13514437.46
Apr 2018,All Others,3016.34
Apr 2018,Fuel,17115263.07
Apr 2018,County Surcharges,22565831.22
May 2018,Tobacco,9057375.13
May 2018,Fuel,16909759.67
May 2018,General Excise & Use,298654681.96999997
May 2018,Inheritance/Estate,1046224.32
May 2018,Public Service Co.,12157385.49
May 2018,Corporate Income,-22329543.380000003
May 2018,Rental Vehicle,4664651.28
May 2018,Transient Accommodation,51857441.48
May 2018,Individual Income,320797856.91
May 2018,All Others,2549.51
May 2018,Banks/Financial Corp,771005.95
May 2018,Liquor,3943684.45
May 2018,County Surcharges,22123533.15
Jun 2018,Fuel,17367075.73
Jun 2018,County Surcharges,22986417.7
Jun 2018,Liquor,4723057.23
Jun 2018,All Others,6003.71
Jun 2018,Individual Income,224178882.24
Jun 2018,Tobacco,11356563.47
Jun 2018,Banks/Financial Corp,2665402.11
Jun 2018,Rental Vehicle,4607340.94
Jun 2018,Corporate Income,19879843.13
Jun 2018,Transient Accommodation,44148664.17
Jun 2018,Inheritance/Estate,753663.15
Jun 2018,General Excise & Use,267444444.01000002
Jun 2018,Public Service Co.,10629124.61
Jul 2018,All Others,5000
Jul 2018,County Surcharges,23333231.4
Jul 2018,Fuel,16944184.23
Jul 2018,Inheritance/Estate,4456616.12
Jul 2018,Public Service Co.,9213554.08
Jul 2018,Rental Vehicle,4303559.93
Jul 2018,Transient Accommodation,56557508.51
Jul 2018,Banks/Financial Corp,747532.26
Jul 2018,General Excise & Use,304577231.72999996
Jul 2018,Tobacco,9417456.54
Jul 2018,Individual Income,171007939.31
Jul 2018,Liquor,4407943.15
Jul 2018,Corporate Income,-6372391.19
Aug 2018,Rental Vehicle,4951921.15
Aug 2018,General Excise & Use,294024165.03
Aug 2018,Individual Income,179143095.91
Aug 2018,Corporate Income,7263508.44
Aug 2018,Transient Accommodation,53347757.56
Aug 2018,Fuel,17713127.16
Aug 2018,Public Service Co.,10179741.38
Aug 2018,All Others,0
Aug 2018,County Surcharges,22205168
Aug 2018,Liquor,4178460.43
Aug 2018,Tobacco,9226580.67
Aug 2018,Banks/Financial Corp,518468.38
Aug 2018,Inheritance/Estate,1872799.24
Sep 2018,General Excise & Use,281926817.60999995
Sep 2018,County Surcharges,23865517.06
Sep 2018,Tobacco,9299854.82
Sep 2018,Public Service Co.,10803124.57
Sep 2018,Inheritance/Estate,715884
Sep 2018,Fuel,17963823.59
Sep 2018,Transient Accommodation,47637243
Sep 2018,Individual Income,229170474.2
Sep 2018,Corporate Income,21296751.560000002
Sep 2018,Rental Vehicle,4569179.22
Sep 2018,All Others,172.14
Sep 2018,Liquor,4502698.15
Sep 2018,Banks/Financial Corp,1102073.88
Oct 2018,County Surcharges,23751804.77
Oct 2018,Public Service Co.,10096481.73
Oct 2018,Corporate Income,14678952.68
Oct 2018,Rental Vehicle,3793348.75
Oct 2018,Banks/Financial Corp,-1094496.06
Oct 2018,Transient Accommodation,45545596.57
Oct 2018,Tobacco,11064908.53
Oct 2018,Fuel,16681350.1
Oct 2018,General Excise & Use,288748553.84
Oct 2018,All Others,163.97
