income_min,income_max,rate,base_tax,base_income,year,filing_status,scenario
550000,650000.0,11.0,42932,550000,2027,Joint_Surviving_Spouse,hb2306_hd1
650000,inf,12.0,53932,650000,2027,Joint_Surviving_Spouse,hb2306_hd1
0,14400.0,1.4,0,0,2027,Head_of_Household,hb2306_hd1
14400,21600.0,3.2,202,14400,2027,Head_of_Household,hb2306_hd1
21600,28800.0,5.5,432,21600,2027,Head_of_Household,hb2306_hd1
28800,36000.0,6.4,828,28800,2027,Head_of_Household,hb2306_hd1
36000,54000.0,6.8,1289,36000,2027,Head_of_Household,hb2306_hd1
54000,72000.0,7.2,2513,54000,2027,Head_of_Household,hb2306_hd1
72000,187500.0,7.6,3809,72000,2027,Head_of_Household,hb2306_hd1
187500,262500.0,7.9,12587,187500,2027,Head_of_Household,hb2306_hd1
262500,337500.0,8.25,18512,262500,2027,Head_of_Household,hb2306_hd1
337500,412500.0,10.0,24699,337500,2027,Head_of_Household,hb2306_hd1
412500,487500.0,11.0,32199,412500,2027,Head_of_Household,hb2306_hd1
487500,inf,12.0,40449,487500,2027,Head_of_Household,hb2306_hd1
0,9600.0,1.4,0,0,2027,Single_Married_Separate,hb2306_hd1
9600,14400.0,3.2,134,9600,2027,Single_Married_Separate,hb2306_hd1
14400,19200.0,5.5,288,14400,2027,Single_Married_Separate,hb2306_hd1
19200,24000.0,6.4,552,19200,2027,Single_Married_Separate,hb2306_hd1
24000,36000.0,6.8,859,24000,2027,Single_Married_Separate,hb2306_hd1
36000,48000.0,7.2,1675,36000,2027,Single_Married_Separate,hb2306_hd1
48000,125000.0,7.6,2539,48000,2027,Single_Married_Separate,hb2306_hd1
125000,175000.0,7.9,8391,125000,2027,Single_Married_Separate,hb2306_hd1
175000,225000.0,8.25,12341,175000,2027,Single_Married_Separate,hb2306_hd1
225000,275000.0,10.0,16466,225000,2027,Single_Married_Separate,hb2306_hd1
275000,325000.0,11.0,21466,275000,2027,Single_Married_Separate,hb2306_hd1
325000,inf,12.0,26966,325000,2027,Single_Married_Separate,hb2306_hd1
